tweet,subjectivity,ts,actual
"Oh right but if you're one of those absolute weirdos who liked squid game despite not thinking about the messaging AT ALL, which is a weird number of people, stay FAR AWAY from midnight mass lol",subjective,y,subjective
I ate the squid game burger.  https://t.co/wqV7VAiCDH,objective,y,objective
It was 5011 million Squid Games costumes and parties this year but THIS the one people trippin about?,subjective,y,subjective
"If you enjoyed squid game, you should definitely check out hellbound.",subjective,y,subjective
Social inequality and hyper violence: why the bleak world of Netflix's Squid Game is a streaming phenomenon via  @TC_Africa  https://t.co/YToNI1u9BU,objective,y,objective
Trying to understand this #SurvivingSophia is harder than getting out of the squid games alive,subjective,y,subjective
 @ShuchiinAcademy squid game :),objective,y,objective
Zendaya and Hoyeon Jung met on CFDA AWARDS 2021 🖤❤  black and red   #zendaya #hoyeonjung #cfdaawards #SquidGame  https://t.co/BvQeRgDEeD,objective,y,objective
Ben Shapiro Got Squid Game All Wrong!  https://t.co/L6BpiElubV via  @YouTube,subjective,y,subjective
#SuperExclusive #OTTRatings #OTT Week 46 TOP 5 OTT SHOWS  1.#SpecialOps1Point5 16.17M (DisneyPlusHotstar) 2.#SquidGame 10.69M (Netflix) 3.#NarcosMexico3 8.40M (Netflix) 4.#JungleCruise 8.10 5.#Yellowstone 5.41M (AmazonPrimeVideo)   @GossipsTv #4SaalBemisaalOfGtv,objective,y,objective
" @hat_dogg TOO MANY BALLS, and a Squid Game reference for peak 2021",subjective,y,subjective
Mfs who told Alice in Borderland better than Squid Game need help ASAP,subjective,y,subjective
There are some real-life retirement planning lessons for financial advisors in Netflix's The Squid Game.   https://t.co/aonnh9vRSb,objective,y,objective
 @shawnwithaW_ Bruh! Can we talk about that?!!?!  Like fam! Wtf?! Makes sense why you never hear him outwardly address this story.,subjective,y,subjective
 @beingkarmin Soooo damn true,subjective,y,subjective
On who squid games got another season 👀,objective,y,objective
 @xElijahF Poor lil man 😭😭😭 let him get some sleep bro,subjective,y,subjective
" @_samijayne  @BuzzFeed Its not the same if rich people do it than when non-rich people do it because of the content of Squid Games. If Squid Games was about the French Revolution, it would be fine for rich people to have Squid Games dress up parties.",subjective,y,subjective
 @oceanratVEVO squid game burger,objective,y,objective
squid game med school  https://t.co/IQ1dyZPM5s,objective,y,objective
Let me try the Squid Game dalgona challenge just for fun.  (*gets shot a few seconds later*)  https://t.co/bya7EBhIXs,subjective,y,subjective
it's funny trying to explain to my instagram followers that I haven't posted in ages because I've been making art for a twitter squid game instead,subjective,y,subjective
 @SweeetJamess Lol true 😂😂,subjective,y,subjective
 @CryptoWhale Bro I understand her she lost her life savings in squid game rugpull and now aped in a 125x bitcoin long at 57k to break even gotta respect the hustle,subjective,y,subjective
 @rebecca_spero House hunting in Lagos na squid game...the next house is always crazier than the last and the aim is always to kill you before your time  🤣🤣,subjective,y,subjective
If you haven't watched squid game then go watch it,subjective,y,subjective
teacher 1: “that squid game bs ruined such a great childhood game” teacher 2: “these kids knew about squid games before I even knew about squid games”,subjective,y,subjective
 @DaRealDJ_Sekret Well we sober ppl just fine certain things we don't like ain't don't do it. It's all bout stay true wat u don't like and stick too it,subjective,y,subjective
Ain't that my boy from squid games,objective,y,objective
"Unclear why anyone is shocked  @h3h3productions thinks it's chill that Mr. Beast is like, doing a squid game when the homie fully just bought a Rolls Royce on a lark once. Rich people do not know what everyday people are dealing with rn.",subjective,y,subjective
aroha squid game,objective,y,objective
I doubt they DID miss the point of the show. Indifference is something that can and does literally cost money. They can afford it. Let them eat cake at the Squid Game party or whatever.,subjective,y,subjective
#SquidGame if squid game was filmed in Uk it would be called British Bulldogs,objective,y,objective
" @tressiemcphd I worked for a military contractor and the senior PM LOVED to do this even though myself and several team members complained bc it was a manipulative tactic. We also talked to HR. Nothing changed because  @asrcfederaljobs hires very, very sca",subjective,y,subjective
 @Holavista Winter Olympic Games= Squid games live on TV   😱😱😱,objective,y,objective
" @4Patrick7 Oh, no! Squid Game's done got him.",subjective,y,subjective
